,Mean Rewards,Standard error
0,1.7560001611709595,[0.08597093]
1,1.5787999629974365,[0.24349567]
2,1.5199999809265137,[0.19938882]
3,1.1792000532150269,[0.24922548]
4,1.421199917793274,[0.26674116]
5,1.4479999542236328,[0.19221915]
6,1.8220001459121704,[0.08253665]
7,1.5565999746322632,[0.2507033]
8,1.6256000995635986,[0.20350125]
9,1.5350000858306885,[0.24964635]
10,1.6953999996185303,[0.20465131]
11,1.707200050354004,[0.13634491]
12,1.674799919128418,[0.24394085]
13,1.056999921798706,[0.23082958]
14,1.305999994277954,[0.20997]
15,1.6402000188827515,[0.20368293]
16,1.3398000001907349,[0.26680112]
17,1.6804001331329346,[0.19707678]
18,1.5776000022888184,[0.2275565]
19,1.7062000036239624,[0.23587018]
20,1.806800127029419,[0.13006513]
21,1.872999906539917,[0.08165721]
22,1.3375999927520752,[0.25396958]
23,1.540000081062317,[0.2078473]
24,1.5354000329971313,[0.20499723]
25,1.6312000751495361,[0.18978788]
26,1.5429998636245728,[0.20924337]
27,1.5772000551223755,[0.18769506]
28,1.7624000310897827,[0.07940064]
29,1.818199872970581,[0.14182715]
30,1.7020000219345093,[0.188878]
31,1.5252000093460083,[0.21599245]
32,1.4832000732421875,[0.16995098]
33,1.8964000940322876,[0.0666893]
34,1.89739990234375,[0.06933583]
35,1.3840000629425049,[0.24639136]
36,1.6557998657226562,[0.17646737]
37,1.8672001361846924,[0.09056844]
38,1.6215999126434326,[0.18521895]
39,1.3702000379562378,[0.19917916]
40,1.7182000875473022,[0.16287215]
41,1.6302000284194946,[0.19720659]
42,1.6012001037597656,[0.22818576]
43,1.8253999948501587,[0.08568582]
44,1.708799958229065,[0.17656654]
45,1.1407999992370605,[0.21319415]
46,1.6628000736236572,[0.14567341]
47,1.7608000040054321,[0.17884725]
48,1.743399977684021,[0.158471]
49,1.7464001178741455,[0.1575051]
