,Mean Rewards,Standard error
0,1642.199951171875,[19.301294]
1,1643.4000244140625,[26.020376]
2,1652.5999755859375,[11.595688]
3,1635.0,[15.43049]
4,1671.0,[8.792042]
5,1649.5999755859375,[13.753544]
6,1654.0,[15.378556]
7,1653.199951171875,[12.022479]
8,1669.199951171875,[14.147085]
9,1629.5999755859375,[18.009998]
10,1591.800048828125,[15.357082]
11,1633.4000244140625,[20.37793]
12,1641.5999755859375,[13.7062025]
13,1646.5999755859375,[16.476044]
14,1628.800048828125,[15.83793]
15,1657.199951171875,[12.358803]
16,1653.800048828125,[10.556515]
17,1647.5999755859375,[13.544742]
18,1649.5999755859375,[20.128586]
19,1649.4000244140625,[15.967467]
20,1606.800048828125,[12.54751]
21,1620.800048828125,[14.051334]
22,1680.800048828125,[10.214695]
23,1649.4000244140625,[15.641612]
24,1670.4000244140625,[4.2261095]
