,Mean Rewards,Standard error
0,1636.0,[15.023315]
1,1635.4000244140625,[15.477727]
2,1657.199951171875,[17.502571]
3,1656.199951171875,[20.972363]
4,1644.199951171875,[29.79832]
5,1648.800048828125,[35.535053]
6,1612.5999755859375,[10.604716]
7,1610.800048828125,[7.2691126]
8,1628.800048828125,[12.885652]
9,1647.199951171875,[16.56623]
10,1640.0,[15.697133]
11,1641.5999755859375,[12.702756]
12,1673.199951171875,[33.662144]
13,1614.5999755859375,[10.874742]
14,1602.0,[9.8234415]
15,1619.800048828125,[10.096534]
16,1636.199951171875,[16.749329]
17,1642.800048828125,[15.134068]
18,1633.199951171875,[12.306096]
19,1636.4000244140625,[18.969976]
20,1639.4000244140625,[12.765579]
21,1626.199951171875,[18.377705]
22,1592.199951171875,[6.4683847]
