,Mean Rewards,Standard error
0,1641.800048828125,[10.584895]
1,1669.5,[8.46857]
2,1653.5,[4.7662005]
3,1625.0,[6.456693]
4,1653.5999755859375,[8.78787]
5,1644.199951171875,[4.7721415]
6,1643.4000244140625,[10.266666]
7,1653.300048828125,[11.8902855]
8,1626.199951171875,[11.881639]
9,1649.0999755859375,[11.402193]
10,1647.800048828125,[10.366399]
11,1636.699951171875,[10.712453]
12,1654.9000244140625,[9.064522]
13,1612.4000244140625,[10.588464]
14,1654.5,[5.818075]
15,1638.5999755859375,[10.035714]
16,1638.5999755859375,[10.179719]
17,1633.4000244140625,[7.564831]
18,1646.9000244140625,[11.656614]
19,1639.9000244140625,[11.441105]
20,1646.5,[8.631017]
21,1650.5,[9.448398]
22,1647.0,[11.13952]
23,1637.800048828125,[10.411319]
24,1651.0,[11.175369]
25,1645.4000244140625,[8.704021]
26,1630.4000244140625,[9.038437]
27,1625.5999755859375,[11.135728]
28,1659.0,[4.7164016]
29,1648.5999755859375,[7.8105345]
30,1642.199951171875,[9.099206]
31,1648.800048828125,[10.470912]
32,1635.9000244140625,[8.457015]
33,1622.0999755859375,[12.407391]
34,1632.9000244140625,[13.843931]
35,1654.5,[7.483686]
36,1647.800048828125,[11.257393]
37,1648.0999755859375,[9.708473]
38,1625.699951171875,[13.696756]
39,1637.0,[12.116105]
40,1637.4000244140625,[12.204006]
41,1628.0999755859375,[8.554985]
42,1649.699951171875,[13.982568]
43,1637.5,[10.5158615]
44,1644.0999755859375,[9.229722]
45,1646.5,[12.263088]
46,1634.4000244140625,[13.007861]
47,1642.9000244140625,[8.007566]
48,1634.4000244140625,[10.795266]
49,1624.5999755859375,[9.447163]
50,1640.0,[10.388027]
51,1638.800048828125,[8.861652]
52,1622.699951171875,[9.815011]
53,1639.699951171875,[10.325857]
54,1654.5,[11.686888]
55,1647.300048828125,[8.314713]
56,1646.699951171875,[11.156512]
57,1636.4000244140625,[9.172665]
58,1661.199951171875,[9.183077]
59,1638.199951171875,[9.296117]
60,1644.5999755859375,[11.937987]
61,1626.699951171875,[10.320477]
62,1635.0,[11.186301]
63,1638.4000244140625,[11.09274]
64,1650.0999755859375,[9.209234]
65,1632.5,[9.525696]
66,1657.199951171875,[6.589217]
67,1643.5,[8.799306]
68,1640.300048828125,[10.3376875]
69,1652.699951171875,[9.862443]
70,1631.9000244140625,[9.183863]
71,1642.5999755859375,[13.25326]
72,1648.699951171875,[8.277211]
73,1628.800048828125,[10.273808]
74,1645.199951171875,[11.999815]
75,1640.9000244140625,[11.17184]
76,1620.300048828125,[10.888373]
77,1648.800048828125,[9.394798]
78,1646.5999755859375,[8.910916]
79,1668.4000244140625,[10.376469]
80,1628.9000244140625,[9.604918]
81,1647.4000244140625,[11.530828]
82,1622.9000244140625,[11.294492]
83,1643.199951171875,[12.284407]
84,1655.699951171875,[6.3404346]
85,1634.0,[8.764829]
86,1649.9000244140625,[11.1409645]
87,1623.9000244140625,[10.15595]
88,1641.9000244140625,[10.877551]
89,1620.300048828125,[9.411635]
90,1643.4000244140625,[8.796716]
91,1644.5,[12.51599]
92,1643.0,[9.473941]
93,1650.300048828125,[8.5310545]
