,Mean Rewards,Standard error
0,3.985623836517334,[0.28834733]
1,3.805049180984497,[0.2088523]
2,3.7706871032714844,[0.20775215]
3,3.9600281715393066,[0.19484088]
4,4.023492336273193,[0.24187912]
5,3.6665496826171875,[0.20721154]
6,3.8190741539001465,[0.23820207]
7,4.015778541564941,[0.37043792]
8,3.7293128967285156,[0.25025946]
9,3.8846423625946045,[0.28315786]
10,4.383941173553467,[0.44653884]
11,3.5915145874023438,[0.17100836]
12,3.631136417388916,[0.1765263]
13,3.9232115745544434,[0.25362828]
14,4.1451616287231445,[0.20410948]
15,4.056100845336914,[0.15051457]
16,4.0382184982299805,[0.35723943]
17,3.7394814491271973,[0.2564301]
18,4.10589075088501,[0.16378973]
19,4.5718793869018555,[0.33050153]
20,3.562763214111328,[0.23942597]
21,3.801192045211792,[0.1519891]
22,3.813464403152466,[0.16412485]
23,3.7370266914367676,[0.1759035]
24,3.7233519554138184,[0.22439203]
