,Mean Rewards,Standard error
0,3.0708274841308594,[0.2906193]
1,2.7023143768310547,[0.17786755]
2,2.989481210708618,[0.21785341]
3,3.6693549156188965,[0.35193315]
4,3.021388530731201,[0.19372775]
5,2.991234302520752,[0.21613877]
6,3.245091199874878,[0.2462687]
7,3.0708274841308594,[0.29380563]
8,2.774193286895752,[0.22966315]
9,2.843618392944336,[0.20694365]
10,2.996844530105591,[0.29770815]
11,2.8913042545318604,[0.32301155]
12,3.2310662269592285,[0.27820432]
13,3.134993076324463,[0.33538353]
14,3.0711781978607178,[0.2811749]
15,3.1009817123413086,[0.24933694]
16,3.362903594970703,[0.34392825]
17,3.023141622543335,[0.37987477]
18,3.0883588790893555,[0.26561028]
19,3.090813398361206,[0.32720035]
20,3.2854137420654297,[0.22827137]
21,2.8509817123413086,[0.19790114]
22,3.0571529865264893,[0.27603006]
23,3.280855655670166,[0.33551943]
24,3.1065919399261475,[0.26109138]
