,Mean Rewards,Standard error
0,3.3064513206481934,[0.15961829]
1,3.2475457191467285,[0.17947747]
2,2.9396910667419434,[0.1749007]
3,3.2899718284606934,[0.12624241]
4,3.159186601638794,[0.1927302]
5,3.1171107292175293,[0.14342009]
6,2.8653578758239746,[0.21325357]
7,3.1511220932006836,[0.17625435]
8,3.042426347732544,[0.12917534]
9,3.111150026321411,[0.1744235]
10,3.11676025390625,[0.19761862]
11,2.8790321350097656,[0.18484868]
12,3.153576374053955,[0.13090041]
13,3.291374683380127,[0.03021243]
14,2.816619634628296,[0.20265754]
15,3.0101683139801025,[0.20193651]
16,3.0708274841308594,[0.17443743]
17,3.29628324508667,[0.17085208]
