,Mean Rewards,Standard error
0,0.3351351022720337,[0.23407653]
1,3.8216216564178467,[0.48451298]
2,4.978377819061279,[0.2805131]
3,1.7297297716140747,[0.43899855]
4,5.270270347595215,[0.39652434]
5,2.3729732036590576,[0.40481037]
6,2.5459461212158203,[0.25023484]
7,2.0810811519622803,[0.28431952]
8,1.2162163257598877,[0.10754357]
9,-0.5243242979049683,[0.06634938]
10,-0.7189189195632935,[0.30022308]
11,0.2594594359397888,[0.07601276]
12,-0.1297297179698944,[0.10568224]
13,-0.4324324429035187,[0.09523591]
14,0.1297297328710556,[0.06313381]
15,1.2108107805252075,[0.12688318]
16,1.1513513326644897,[0.3083648]
17,-1.1675676107406616,[0.02689155]
18,0.32972967624664307,[0.14110248]
19,0.2432432323694229,[0.09868874]
20,0.027027035132050514,[0.04995737]
21,0.7675675749778748,[0.14274092]
22,-0.9945946335792542,[0.04264793]
23,0.616216242313385,[0.05353353]
24,0.9675676226615906,[0.07631646]
