,Mean Rewards,Standard error
0,3.718918800354004,[0.5185927]
1,3.9351348876953125,[0.47944862]
2,4.205405235290527,[0.49475703]
3,4.513513565063477,[0.48586044]
4,4.345945835113525,[0.5002848]
5,4.956756591796875,[0.46043354]
6,3.010810613632202,[0.5917994]
7,3.8648648262023926,[0.55657524]
8,4.205405235290527,[0.53267473]
9,3.5135138034820557,[0.5390746]
10,2.016216278076172,[0.44354528]
11,4.572973251342773,[0.47698936]
12,4.194594860076904,[0.47061706]
13,3.7945945262908936,[0.50023854]
14,3.518918514251709,[0.51808536]
15,3.567567825317383,[0.5506929]
16,3.551351308822632,[0.5463383]
17,4.194594860076904,[0.56625116]
18,4.167567253112793,[0.54389054]
19,4.3189191818237305,[0.5105104]
20,4.432432174682617,[0.50568956]
21,3.1189191341400146,[0.4844753]
