,Mean Rewards,Standard error
0,32.778377532958984,[0.33074346]
1,40.85404968261719,[2.8951497]
2,41.740543365478516,[1.3455579]
3,63.756752014160156,[2.8048162]
4,55.64864730834961,[3.6457531]
5,49.383785247802734,[1.947448]
6,50.15675735473633,[2.8455672]
7,54.29729461669922,[3.7561004]
8,64.0,[3.1474013]
9,49.205406188964844,[2.2723517]
10,55.708106994628906,[2.8433483]
11,46.443241119384766,[2.1419342]
12,50.97297286987305,[3.0366242]
13,39.41621398925781,[1.8015044]
14,73.87026977539062,[2.500242]
15,53.07026672363281,[3.5709827]
16,36.605403900146484,[0.18252745]
17,44.31891632080078,[1.289567]
18,42.15675735473633,[0.51790917]
19,72.72972869873047,[3.026705]
20,33.654056549072266,[0.55567104]
21,62.859458923339844,[3.4132316]
22,50.740543365478516,[1.9924395]
23,49.64864730834961,[2.8949738]
24,38.33513641357422,[1.7160339]
25,43.735137939453125,[1.0923089]
26,49.81081008911133,[2.1479545]
27,49.572975158691406,[0.81252384]
28,37.35135269165039,[0.9049009]
29,43.259464263916016,[0.8343914]
