DEBUG sample.SampleCivilian : Starting Connection from sample.SampleCivilian. Registry: SampleCivilian filter registry
DEBUG sample.SampleCivilian : Instantiating random number generator: org.uncommons.maths.random.MersenneTwisterRNG
DEBUG sample.SampleCivilian : Using seed 482152832
INFO sample.SampleCivilian Civilian (482151809): Sample civilian connected
INFO sample.SampleCivilian Civilian (482151809): Civilian 482151809 connected
DEBUG sample.SampleCivilian : Starting Connection from sample.SampleCivilian. Registry: SampleCivilian filter registry
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
INFO sample.SampleCivilian Civilian (482151809): Heading for a refuge
