#{"t_start": 1584909419.2410893, "env_id": "RCRS-v2"}
r,l,t
2311.80575,250,66.621849
2324.957924,250,132.557727
2296.346424,250,197.771208
2318.460729,250,263.422529
2328.593969,250,329.344648
2333.48878,250,395.21354
2330.098177,250,460.316574
2321.157083,250,525.475884
2295.06662,250,590.584445
2337.359748,250,655.824456
2307.335203,250,721.311257
2351.062412,250,841.895609
2494.740533,250,923.900709
2492.987377,250,1005.81789
2196.931978,250,1086.026288
2151.661992,250,1166.205773
2147.163394,250,1246.904119
2498.246844,250,1329.415923
2206.647966,250,1409.857683
2500.0,250,1492.371019
2193.734222,250,1571.957676
2135.546985,250,1652.923177
2132.931276,250,1733.967291
